taxonomy,year,level,code,value
ssyk96,2013,1,0,15442
ssyk96,2013,1,1,248607
ssyk96,2013,1,2,755902
ssyk96,2013,1,3,792613
ssyk96,2013,1,4,313938
ssyk96,2013,1,5,838662
ssyk96,2013,1,6,34385
ssyk96,2013,1,7,365182
ssyk96,2013,1,8,369457
ssyk96,2013,1,9,246977
ssyk96,2013,2,01,15442
ssyk96,2013,2,11,4187
ssyk96,2013,2,12,177236
ssyk96,2013,2,13,67184
ssyk96,2013,2,21,194914
ssyk96,2013,2,22,85528
ssyk96,2013,2,23,196399
ssyk96,2013,2,24,279061
ssyk96,2013,2,31,192528
ssyk96,2013,2,32,122799
ssyk96,2013,2,33,95430
ssyk96,2013,2,34,381856
ssyk96,2013,2,41,245666
ssyk96,2013,2,42,68272
ssyk96,2013,2,51,628233
ssyk96,2013,2,52,210429
ssyk96,2013,2,61,34385
ssyk96,2013,2,71,226418
ssyk96,2013,2,72,116747
ssyk96,2013,2,73,9192
ssyk96,2013,2,74,12825
ssyk96,2013,2,81,50785
ssyk96,2013,2,82,177116
ssyk96,2013,2,83,141556
ssyk96,2013,2,91,196304
ssyk96,2013,2,92,3550
ssyk96,2013,2,93,47123
ssyk96,2013,3,011,15442
ssyk96,2013,3,111,3138
ssyk96,2013,3,112,1049
ssyk96,2013,3,121,23304
ssyk96,2013,3,122,84244
ssyk96,2013,3,123,69688
ssyk96,2013,3,131,67184
ssyk96,2013,3,211,6838
ssyk96,2013,3,212,1898
ssyk96,2013,3,213,102749
ssyk96,2013,3,214,83429
ssyk96,2013,3,221,4414
ssyk96,2013,3,222,49352
ssyk96,2013,3,223,31762
ssyk96,2013,3,231,35633
ssyk96,2013,3,232,53270
ssyk96,2013,3,233,79823
ssyk96,2013,3,234,6526
ssyk96,2013,3,235,21147
ssyk96,2013,3,241,109262
ssyk96,2013,3,242,18605
ssyk96,2013,3,243,8773
ssyk96,2013,3,244,4481
ssyk96,2013,3,245,39214
ssyk96,2013,3,246,3482
ssyk96,2013,3,247,51818
ssyk96,2013,3,248,6866
ssyk96,2013,3,249,36560
ssyk96,2013,3,311,125373
ssyk96,2013,3,312,43701
ssyk96,2013,3,313,9470
ssyk96,2013,3,314,5617
ssyk96,2013,3,315,8367
ssyk96,2013,3,321,3068
ssyk96,2013,3,322,37110
ssyk96,2013,3,323,73027
ssyk96,2013,3,324,9594
ssyk96,2013,3,331,89053
ssyk96,2013,3,332,6377
ssyk96,2013,3,341,191653
ssyk96,2013,3,342,24016
ssyk96,2013,3,343,74976
ssyk96,2013,3,344,20892
ssyk96,2013,3,345,16987
ssyk96,2013,3,346,34700
ssyk96,2013,3,347,17385
ssyk96,2013,3,348,1247
ssyk96,2013,3,411,28707
ssyk96,2013,3,412,47472
ssyk96,2013,3,413,63078
ssyk96,2013,3,414,3367
ssyk96,2013,3,415,19492
ssyk96,2013,3,419,83550
ssyk96,2013,3,421,21339
ssyk96,2013,3,422,46933
ssyk96,2013,3,511,6282
ssyk96,2013,3,512,60517
ssyk96,2013,3,513,515156
ssyk96,2013,3,514,12245
ssyk96,2013,3,515,34033
ssyk96,2013,3,521,92
ssyk96,2013,3,522,210337
ssyk96,2013,3,611,17070
ssyk96,2013,3,612,7886
ssyk96,2013,3,613,4812
ssyk96,2013,3,614,4017
ssyk96,2013,3,615,600
ssyk96,2013,3,711,3792
ssyk96,2013,3,712,102618
ssyk96,2013,3,713,97401
ssyk96,2013,3,714,22607
ssyk96,2013,3,721,28285
ssyk96,2013,3,722,8890
ssyk96,2013,3,723,52835
ssyk96,2013,3,724,26737
ssyk96,2013,3,731,4740
ssyk96,2013,3,732,725
ssyk96,2013,3,733,129
ssyk96,2013,3,734,3598
ssyk96,2013,3,741,8493
ssyk96,2013,3,742,1809
ssyk96,2013,3,743,2174
ssyk96,2013,3,744,349
ssyk96,2013,3,811,1697
ssyk96,2013,3,812,13663
ssyk96,2013,3,813,1362
ssyk96,2013,3,814,15635
ssyk96,2013,3,815,6009
ssyk96,2013,3,816,11324
ssyk96,2013,3,817,1095
ssyk96,2013,3,821,36980
ssyk96,2013,3,822,11493
ssyk96,2013,3,823,10747
ssyk96,2013,3,824,9716
ssyk96,2013,3,825,10391
ssyk96,2013,3,826,5042
ssyk96,2013,3,827,18067
ssyk96,2013,3,828,44387
ssyk96,2013,3,829,30293
ssyk96,2013,3,831,5501
ssyk96,2013,3,832,98623
ssyk96,2013,3,833,35664
ssyk96,2013,3,834,1768
ssyk96,2013,3,911,215
ssyk96,2013,3,912,72230
ssyk96,2013,3,913,67680
ssyk96,2013,3,914,16201
ssyk96,2013,3,915,9638
ssyk96,2013,3,919,30340
ssyk96,2013,3,921,3550
ssyk96,2013,3,931,5282
ssyk96,2013,3,932,27004
ssyk96,2013,3,933,14837
