taxonomy,year,level,code,value
ssyk2012,2023,3,621,3412
ssyk2012,2023,3,622,678
ssyk2012,2023,3,711,123628
ssyk2012,2023,3,712,44725
ssyk2012,2023,3,713,28963
ssyk2012,2023,3,721,27769
ssyk2012,2023,3,722,61244
ssyk2012,2023,3,723,66686
ssyk2012,2023,3,731,4112
ssyk2012,2023,3,732,5481
ssyk2012,2023,3,741,51834
ssyk2012,2023,3,742,8604
ssyk2012,2023,3,752,10821
ssyk2012,2023,3,753,2204
ssyk2012,2023,3,761,9252
ssyk2012,2023,3,811,8322
ssyk2012,2023,3,812,18434
ssyk2012,2023,3,813,5893
ssyk2012,2023,3,814,14447
ssyk2012,2023,3,815,5882
ssyk2012,2023,3,816,16551
ssyk2012,2023,3,817,16138
ssyk2012,2023,3,818,8185
ssyk2012,2023,3,819,21327
ssyk2012,2023,3,821,58453
ssyk2012,2023,3,831,6190
ssyk2012,2023,3,832,28983
ssyk2012,2023,3,833,85867
ssyk2012,2023,3,834,45056
ssyk2012,2023,3,835,1432
ssyk2012,2023,3,911,98156
ssyk2012,2023,3,912,6576
ssyk2012,2023,3,921,4562
ssyk2012,2023,3,931,7349
ssyk2012,2023,3,932,8979
ssyk2012,2023,3,933,8987
ssyk2012,2023,3,941,104826
ssyk2012,2023,3,952,270
ssyk2012,2023,3,961,10700
ssyk2012,2023,3,962,41071
ssyk2012,2023,4,0110,2853
ssyk2012,2023,4,0210,5477
ssyk2012,2023,4,0310,6008
ssyk2012,2023,4,1111,463
ssyk2012,2023,4,1112,924
ssyk2012,2023,4,1113,974
ssyk2012,2023,4,1120,20495
ssyk2012,2023,4,1211,6994
ssyk2012,2023,4,1212,13204
ssyk2012,2023,4,1221,3796
ssyk2012,2023,4,1222,6585
ssyk2012,2023,4,1230,10568
ssyk2012,2023,4,1241,1542
ssyk2012,2023,4,1242,3421
ssyk2012,2023,4,1251,14729
ssyk2012,2023,4,1252,22615
ssyk2012,2023,4,1291,10842
ssyk2012,2023,4,1292,17623
ssyk2012,2023,4,1311,4709
ssyk2012,2023,4,1312,10588
ssyk2012,2023,4,1321,4182
ssyk2012,2023,4,1322,9562
ssyk2012,2023,4,1331,2133
ssyk2012,2023,4,1332,4728
ssyk2012,2023,4,1341,3787
ssyk2012,2023,4,1342,10528
ssyk2012,2023,4,1351,788
ssyk2012,2023,4,1352,3824
ssyk2012,2023,4,1361,4049
ssyk2012,2023,4,1362,16440
ssyk2012,2023,4,1371,4119
ssyk2012,2023,4,1372,12486
ssyk2012,2023,4,1380,999
ssyk2012,2023,4,1411,986
ssyk2012,2023,4,1412,12263
ssyk2012,2023,4,1421,323
ssyk2012,2023,4,1422,4007
ssyk2012,2023,4,1491,176
ssyk2012,2023,4,1492,962
ssyk2012,2023,4,1511,2952
ssyk2012,2023,4,1512,11358
ssyk2012,2023,4,1521,1051
ssyk2012,2023,4,1522,4753
ssyk2012,2023,4,1531,1071
ssyk2012,2023,4,1532,10075
ssyk2012,2023,4,1540,899
ssyk2012,2023,4,1591,3963
ssyk2012,2023,4,1592,16017
ssyk2012,2023,4,1611,1550
ssyk2012,2023,4,1612,4261
ssyk2012,2023,4,1711,740
ssyk2012,2023,4,1712,1411
ssyk2012,2023,4,1721,1705
ssyk2012,2023,4,1722,7155
ssyk2012,2023,4,1731,1584
ssyk2012,2023,4,1732,7355
ssyk2012,2023,4,1741,167
ssyk2012,2023,4,1742,1503
ssyk2012,2023,4,1791,1779
ssyk2012,2023,4,1792,5851
ssyk2012,2023,4,2111,1924
ssyk2012,2023,4,2112,160
ssyk2012,2023,4,2113,3459
ssyk2012,2023,4,2114,1993
ssyk2012,2023,4,2121,785
ssyk2012,2023,4,2122,1654
ssyk2012,2023,4,2131,1837
ssyk2012,2023,4,2132,929
ssyk2012,2023,4,2133,1866
