taxonomy,level,code,label,year,n_children,daioe_allapps,daioe_stratgames,daioe_videogames,daioe_imgrec,daioe_imgcompr,daioe_imggen,daioe_readcompr,daioe_lngmod,daioe_translat,daioe_speechrec,daioe_genai,pct_rank_allapps,pct_rank_stratgames,pct_rank_videogames,pct_rank_imgrec,pct_rank_imgcompr,pct_rank_imggen,pct_rank_readcompr,pct_rank_lngmod,pct_rank_translat,pct_rank_speechrec,pct_rank_genai
ssyk96,1,,Armed forces,2010,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2011,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2012,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2013,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2014,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2015,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2016,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2017,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2018,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2019,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2020,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2021,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2022,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2023,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,1,"Legislators, senior officials and managers",2010,3,0.2677520365276923,0.08389058954927657,,0.02664854395763595,,,,,,0.004193484722164702,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,,,,0.7777777777777778,
ssyk96,1,1,"Legislators, senior officials and managers",2011,3,0.4475860338122418,0.16694330845611746,,0.03172888435810335,,,,,,0.008386969466754757,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,,,,0.7777777777777778,
