taxonomy,level,code,label,year,n_children,daioe_allapps,daioe_stratgames,daioe_videogames,daioe_imgrec,daioe_imgcompr,daioe_imggen,daioe_readcompr,daioe_lngmod,daioe_translat,daioe_speechrec,daioe_genai,pct_rank_allapps,pct_rank_stratgames,pct_rank_videogames,pct_rank_imgrec,pct_rank_imgcompr,pct_rank_imggen,pct_rank_readcompr,pct_rank_lngmod,pct_rank_translat,pct_rank_speechrec,pct_rank_genai
ssyk96,1,,Armed forces,2010,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2011,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2012,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2013,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2014,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2015,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2016,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2017,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2018,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2019,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2020,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2021,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2022,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,,Armed forces,2023,1,,,,,,,,,,,,,,,,,,,,,,
ssyk96,1,1,"Legislators, senior officials and managers",2010,3,0.2640172493103448,0.08287315941379311,,0.026322653965517244,,,,,,0.004087085582758621,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,,,,0.7777777777777778,
ssyk96,1,1,"Legislators, senior officials and managers",2011,3,0.4412731937931035,0.16491861068965516,,0.03134086613793103,,,,,,0.008174171193103447,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,,,,0.7777777777777778,
